Kod;BölünmeSonrasıSermaye(TL);Tarih;BedelliOran(%);BedelliNom.Tutar(TL);Diğer(*);BedelsizIKOran(%);BedelsizTemettüOran(%);NakitTem.Brüt(%);NakitTemettü(TL);HisseBaşıBrüt(TL)
PETKM;2534400000.0;2020-11-20;0.0;0.0;Bedelsiz Temettü;0.0;20.0;0.0;0.0;0.0
ASELS;2280000000.0;2020-10-16;0.0;0.0;Nakit Temettü;0.0;0.0;4.89766;55833324.0;0.0244883
SISE;3063214056.17;2020-10-01;0.0;0.0;Birleşme;0.0;0.0;0.0;0.0;0.0
ASELS;2280000000.0;2020-08-05;0.0;0.0;Bedelsiz Temettü;0.0;100.0;0.0;0.0;0.0
TTKOM;3500000000.0;2020-07-28;0.0;0.0;Nakit Temettü;0.0;0.0;17.19;601650000.0;0.1719
EKGYO;3800000000.0;2020-07-23;0.0;0.0;Nakit Temettü;0.0;0.0;2.017;76646000.0;0.02017
ASELS;1140000000.0;2020-07-17;0.0;0.0;Nakit Temettü;0.0;0.0;9.79532;111666648.0;0.0979532
EREGL;3500000000.0;2020-07-17;0.0;0.0;Nakit Temettü;0.0;0.0;23.0;805000000.0;0.23
AEFES;592105263.0;2020-07-14;0.0;0.0;Nakit Temettü;0.0;0.0;177.4;1050394737.0;1.7740000007397334
SISE;2250000000.0;2020-05-29;0.0;0.0;Nakit Temettü;0.0;0.0;14.22222;320000000.0;0.14222222222222222
ENKAI;5600000000.0;2020-05-27;0.0;0.0;Bedelsiz Temettü;0.0;12.0;0.0;0.0;0.0
BIMAS;607200000.0;2020-05-13;0.0;0.0;Nakit Temettü;0.0;0.0;50.0;303600000.0;0.5
ENKAI;5000000000.0;2020-04-14;0.0;0.0;Nakit Temettü;0.0;0.0;18.0;900000000.0;0.18
KCHOL;2535898050.0;2020-04-06;0.0;0.0;Nakit Temettü;0.0;0.0;20.95;531270641.5;0.20950000000985844
SAHOL;2040403931.0;2020-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;33.0;673333297.2;0.32999999998529705
TAVHL;363281250.0;2020-03-25;0.0;0.0;Nakit Temettü;0.0;0.0;108.04059;392491240.0;1.0804059939784947
TOASO;500000000.0;2020-03-25;0.0;0.0;Nakit Temettü;0.0;0.0;240.0;1200000000.0;2.4
FROTO;350910000.0;2020-03-23;0.0;0.0;Nakit Temettü;0.0;0.0;312.0;1094839200.0;3.12
ASELS;1140000000.0;2019-12-18;0.0;0.0;Nakit Temettü;0.0;0.0;5.08771;57999894.0;0.0508771
BIMAS;607200000.0;2019-12-11;0.0;0.0;Nakit Temettü;0.0;0.0;40.0;242880000.0;0.4
HEKTS;227571122.0;2019-12-02;0.0;0.0;Nakit Temettü;0.0;0.0;16.66666;37928501.52;0.16666658399654066
KRDMD;780226001.6;2019-11-27;0.0;0.0;Nakit Temettü;0.0;0.0;13.15789;102599719.2;0.13149999998667053
FROTO;350910000.0;2019-11-19;0.0;0.0;Nakit Temettü;0.0;0.0;123.0;431619300.0;1.23
BIMAS;607200000.0;2019-11-18;0.0;0.0;Nakit Temettü;0.0;0.0;60.0;364320000.0;0.6
ENKAI;5000000000.0;2019-11-13;0.0;0.0;Nakit Temettü;0.0;0.0;14.0;700000000.0;0.14
HEKTS;227571122.0;2019-10-31;200.0;151714066.76;Bedelli Sermaye Artırımı;0.0;0.0;0.0;0.0;0.0
TCELL;2200000000.0;2019-10-31;0.0;0.0;Nakit Temettü;0.0;0.0;45.90909;1010000000.0;0.4590909090909091
ASELS;1140000000.0;2019-09-18;0.0;0.0;Nakit Temettü;0.0;0.0;5.08771;57999894.0;0.0508771
BIMAS;607200000.0;2019-07-24;0.0;0.0;Bedelsiz Temettü;0.0;100.0;0.0;0.0;0.0
KRDMD;780226001.6;2019-06-26;0.0;0.0;Nakit Temettü;0.0;0.0;13.15789;102599719.2;0.13149999998667053
ASELS;1140000000.0;2019-06-19;0.0;0.0;Nakit Temettü;0.0;0.0;5.08771;57999894.0;0.0508771
PETKM;2112000000.0;2019-06-19;0.0;0.0;Bedelsiz Temettü;28.0;0.0;0.0;0.0;0.0
SASA;1448522304.0900035;2019-06-17;0.0;0.0;Nakit Temettü;0.0;0.0;25.19915;152454857.5;0.10524853988753442
BIMAS;303600000.0;2019-06-12;0.0;0.0;Nakit Temettü;0.0;0.0;120.0;364320000.0;1.2
AEFES;592105263.0;2019-05-31;0.0;0.0;Nakit Temettü;0.0;0.0;50.68;300078947.0;0.5067999995129244
EKGYO;3800000000.0;2019-05-31;0.0;0.0;Nakit Temettü;0.0;0.0;3.235;122930000.0;0.03235
SISE;2250000000.0;2019-05-31;0.0;0.0;Nakit Temettü;0.0;0.0;17.77777;400000000.0;0.17777777777777778
EREGL;3500000000.0;2019-05-08;0.0;0.0;Nakit Temettü;0.0;0.0;138.0;4830000000.0;1.38
SASA;1448522304.0900035;2019-04-30;0.0;0.0;Bedelsiz Temettü;0.0;37.19008;0.0;0.0;0.0
ENKAI;5000000000.0;2019-04-17;0.0;0.0;Nakit Temettü;0.0;0.0;15.0;750000000.0;0.15
SAHOL;2040403931.0;2019-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;30.0;612121179.0;0.29999999985297027
FROTO;350910000.0;2019-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;243.0;852711300.0;2.43
KCHOL;2535898050.0;2019-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;39.8;1009287424.0;0.39800000003943375
TUPRS;275256514.0;2019-03-28;0.0;0.0;Nakit Temettü;0.0;0.0;1515.0;3793850880.0;13.782964932848056
TAVHL;363281250.0;2019-03-20;0.0;0.0;Nakit Temettü;0.0;0.0;208.54003;757586827.7;2.0854002999053765
TOASO;500000000.0;2019-03-19;0.0;0.0;Nakit Temettü;0.0;0.0;176.0;880000000.0;1.76
AKBNK;5200000000.0;2019-01-03;30.0;1200000000.0;Bedelli Sermaye Artırımı;0.0;0.0;0.0;0.0;0.0
PGSUS;102299707.0;2018-12-19;0.0;0.0;Birleşme;0.0;0.0;0.0;0.0;0.0
ULKER;342000000.0;2018-12-19;0.0;0.0;Nakit Temettü;0.0;0.0;25.73099;87999985.8;0.2573099
TCELL;2200000000.0;2018-12-17;0.0;0.0;Nakit Temettü;0.0;0.0;28.78788;633333360.0;0.2878788
ASELS;1140000000.0;2018-12-13;0.0;0.0;Nakit Temettü;0.0;0.0;2.47369;28199952.0;0.0247368
ENKAI;5000000000.0;2018-12-12;0.0;0.0;Nakit Temettü;0.0;0.0;4.0;200000000.0;0.04
FROTO;350910000.0;2018-11-20;0.0;0.0;Nakit Temettü;0.0;0.0;115.0;403546500.0;1.15
BIMAS;303600000.0;2018-11-07;0.0;0.0;Nakit Temettü;0.0;0.0;80.0;242880000.0;0.8
TCELL;2200000000.0;2018-09-17;0.0;0.0;Nakit Temettü;0.0;0.0;28.78788;633333360.0;0.2878788
ASELS;1140000000.0;2018-09-13;0.0;0.0;Nakit Temettü;0.0;0.0;2.47368;28199952.0;0.0247368
MGROS;181054233.0;2018-09-03;0.0;0.0;Birleşme;0.0;0.0;0.0;0.0;0.0
PETKM;1650000000.0;2018-07-04;0.0;0.0;Bedelsiz Sermaye Artırımı;10.0;0.0;0.0;0.0;0.0
